timestamp,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z,button,toggle
4744003078175900,0.000000,0.000000,0.000000,0.999999,0.001414,0.000453,-0.000248,False,False
4744003099002800,0.000000,0.000000,0.000000,0.999999,0.001124,0.000552,-0.000094,False,False
4744003119065700,0.000000,0.000000,0.000000,0.999999,0.000900,0.000668,0.000004,False,False
4744003140546100,0.000000,0.000000,0.000000,0.999999,-0.000293,0.001288,0.000782,False,False
4744003161041000,0.000000,0.000000,0.000000,0.999998,-0.000602,0.001341,0.001031,False,False
4744003182780000,0.000000,0.000000,0.000000,0.999997,-0.001200,0.001457,0.001474,False,False
4744003203506200,0.000000,0.000000,0.000000,0.999995,-0.001763,0.001461,0.001968,False,False
4744003223900700,0.000000,0.000000,0.000000,0.999992,-0.002443,0.001827,0.002759,False,False
4744003244313700,0.000000,0.000000,0.000000,0.999989,-0.002737,0.002305,0.003179,False,False
4744003265820500,0.000000,0.000000,0.000000,0.999987,-0.002832,0.002597,0.003367,False,False
4744003286895300,0.000000,0.000000,0.000000,0.999984,-0.002910,0.003022,0.003825,False,False
4744003306908100,0.000000,0.000000,0.000000,0.999981,-0.002823,0.003423,0.004365,False,False
4744003327863100,0.000000,0.000000,0.000000,0.999979,-0.002715,0.003609,0.004612,False,False
4744003348525300,0.000000,0.000000,0.000000,0.999977,-0.002046,0.004257,0.004814,False,False
4744003368713800,0.000000,0.000000,0.000000,0.999978,-0.001887,0.004345,0.004725,False,False
4744003389929600,0.000000,0.000000,0.000000,0.999978,-0.001616,0.004544,0.004622,False,False
4744003410446100,0.000000,0.000000,0.000000,0.999977,-0.001434,0.004800,0.004619,False,False
4744003431366300,0.000000,0.000000,0.000000,0.999977,-0.001540,0.004773,0.004582,False,False
4744003452411100,0.000000,0.000000,0.000000,0.999978,-0.001867,0.004540,0.004387,False,False
4744003473439600,0.000000,0.000000,0.000000,0.999979,-0.002101,0.004486,0.004204,False,False
4744003494624500,0.000000,0.000000,0.000000,0.999979,-0.003269,0.004316,0.003451,False,False
4744003515560500,0.000000,0.000000,0.000000,0.999979,-0.003582,0.004266,0.003318,False,False
4744003535920600,0.000000,0.000000,0.000000,0.999979,-0.004221,0.003938,0.003074,False,False
4744003556759200,0.000000,0.000000,0.000000,0.999978,-0.004851,0.003492,0.002897,False,False
4744003577158800,0.000000,0.000000,0.000000,0.999975,-0.005706,0.002705,0.003198,False,False
4744003597832100,0.000000,0.000000,0.000000,0.999971,-0.006220,0.002372,0.003558,False,False
4744003619077200,0.000000,0.000000,0.000000,0.999970,-0.006457,0.002147,0.003680,False,False
4744003640294500,0.000000,0.000000,0.000000,0.999968,-0.006896,0.001691,0.003712,False,False
4744003660641800,0.000000,0.000000,0.000000,0.999965,-0.007463,0.001303,0.003555,False,False
4744003681133000,0.000000,0.000000,0.000000,0.999963,-0.007763,0.001360,0.003506,False,False
4744003701280000,0.000000,0.000000,0.000000,0.999962,-0.007947,0.001431,0.003335,False,False
4744003722081700,0.000000,0.000000,0.000000,0.999934,-0.010920,0.000089,0.003525,False,False
4744003743391500,0.000084,0.000075,0.000048,0.999936,-0.010884,0.000192,0.003180,False,False
4744003765075600,0.000290,0.000094,0.000170,0.999942,-0.010445,0.000581,0.002696,False,False
4744003785856500,0.000336,0.000070,0.000286,0.999946,-0.010055,0.000701,0.002456,False,False
4744003807212400,0.000843,-0.000614,-0.000038,0.999947,-0.009726,0.003305,0.000396,False,False
4744003827451200,0.001454,-0.001273,-0.000381,0.999958,-0.008623,0.003008,0.000191,False,False
4744003848229500,0.001702,-0.001347,-0.000423,0.999960,-0.008347,0.003302,0.000073,False,False
4744003869883100,0.001939,-0.001350,-0.000439,0.999959,-0.008229,0.003814,0.000073,False,False
4744003890090200,0.002218,-0.001235,-0.000533,0.999959,-0.007799,0.004530,-0.000404,False,False
4744003909989400,0.002453,-0.000804,-0.001141,0.999958,-0.008031,0.004461,-0.000421,False,False
