timestamp,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z,button,toggle
5087773799133600,0.000000,0.000000,0.000000,0.999934,0.002705,0.000191,0.011166,False,False
5087773817683600,0.000000,0.000000,0.000000,0.999935,0.002459,0.000028,0.011120,False,False
5087773834206600,0.000000,0.000000,0.000000,0.999938,0.002428,0.000036,0.010879,False,False
5087773851635800,0.000000,0.000000,0.000000,0.999938,0.002428,0.000036,0.010879,False,False
5087773869021100,0.000000,0.000000,0.000000,0.999942,0.002549,-0.000265,0.010508,False,False
5087773886907300,0.000000,0.000000,0.000000,0.999944,0.002655,-0.000600,0.010257,False,False
5087773904698600,0.000000,0.000000,0.000000,0.999945,0.002699,-0.000844,0.010126,False,False
5087773922783500,0.000000,0.000000,0.000000,0.999946,0.002751,-0.001581,0.009865,False,False
5087773940396100,0.000000,0.000000,0.000000,0.999948,0.002796,-0.002318,0.009481,False,False
5087773957078400,0.000000,0.000000,0.000000,0.999950,0.002822,-0.002730,0.009246,False,False
5087773974422100,0.000000,0.000000,0.000000,0.999952,0.002869,-0.003514,0.008724,False,False
5087773992539600,0.000000,0.000000,0.000000,0.999954,0.002894,-0.004083,0.008131,False,False
5087774011003500,0.000000,0.000000,0.000000,0.999956,0.002901,-0.004338,0.007819,False,False
5087774028881100,0.000000,0.000000,0.000000,0.999959,0.002968,-0.004807,0.007086,False,False
5087774045869700,0.000000,0.000000,0.000000,0.999963,0.003264,-0.005212,0.006082,False,False
5087774063363100,0.000000,0.000000,0.000000,0.999964,0.003488,-0.005373,0.005489,False,False
5087774080564400,0.000000,0.000000,0.000000,0.999968,0.004258,-0.005878,0.003369,False,False
5087774098846400,0.000000,0.000000,0.000000,0.999968,0.004319,-0.006048,0.003039,False,False
5087774115897500,0.000000,0.000000,0.000000,0.999967,0.004377,-0.006250,0.002647,False,False
5087774133952900,0.000000,0.000000,0.000000,0.999968,0.004421,-0.006199,0.002445,False,False
5087774151694500,0.000000,0.000000,0.000000,0.999968,0.004433,-0.006215,0.002423,False,False
5087774169706400,0.000000,0.000000,0.000000,0.999968,0.004312,-0.006177,0.002502,False,False
5087774186831400,0.000000,0.000000,0.000000,0.999969,0.004118,-0.006213,0.002634,False,False
5087774204221300,0.000000,0.000000,0.000000,0.999969,0.004104,-0.006236,0.002661,False,False
5087774222218200,0.000000,0.000000,0.000000,0.999969,0.004185,-0.006182,0.002605,False,False
5087774239152900,0.000000,0.000000,0.000000,0.999969,0.004430,-0.006134,0.002340,False,False
5087774257348200,0.000000,0.000000,0.000000,0.999968,0.004813,-0.006108,0.001733,False,False
5087774274056700,0.000000,0.000000,0.000000,0.999968,0.005062,-0.006137,0.001286,False,False
5087774291339500,0.000000,0.000000,0.000000,0.999964,0.005631,-0.006288,0.000160,False,False
5087774309161000,0.000000,0.000000,0.000000,0.999997,0.000187,-0.002008,-0.001053,False,False
5087774326295000,0.000453,0.000207,0.000024,0.999995,0.000406,-0.002326,-0.002075,False,False
5087774343836400,0.000964,0.000541,0.000076,0.999993,0.000275,-0.002549,-0.002870,False,False
5087774361289200,0.001552,0.001034,0.000163,0.999991,-0.000215,-0.002559,-0.003368,False,False
5087774379542400,0.002198,0.001653,0.000290,0.999990,-0.000884,-0.002555,-0.003567,False,False
5087774397680800,0.002910,0.002338,0.000457,0.999989,-0.001571,-0.002485,-0.003607,False,False
5087774415055500,0.003404,0.003367,-0.000699,0.999994,0.000198,-0.001868,-0.002839,False,False
5087774433372000,0.004542,0.004925,-0.001188,0.999993,-0.000722,-0.002347,-0.002672,False,False
5087774449736200,0.004542,0.004925,-0.001188,0.999993,-0.000722,-0.002347,-0.002672,False,False
5087774466365400,0.005859,0.006192,-0.000834,0.999994,-0.001089,-0.002703,-0.002025,False,False
5087774484712100,0.006539,0.006823,-0.000583,0.999994,-0.001195,-0.002958,-0.001649,False,False
5087774501595700,0.005026,0.006310,-0.001883,0.999987,0.001150,-0.004586,-0.001681,False,False
5087774518961800,0.004810,0.006476,-0.002124,0.999983,0.001439,-0.005419,-0.001395,False,False
5087774536758400,0.005013,0.006860,-0.002032,0.999980,0.001650,-0.006031,-0.001133,False,False
5087774554167400,0.005357,0.007325,-0.001823,0.999977,0.001876,-0.006521,-0.000916,False,False
5087774571790400,0.005744,0.007850,-0.001575,0.999973,0.002081,-0.007007,-0.000734,False,False
5087774589240100,0.006153,0.008423,-0.001309,0.999969,0.002238,-0.007513,-0.000577,False,False
5087774607304800,0.006233,0.005820,-0.003286,0.999953,0.004708,-0.008342,0.001527,False,False
5087774624459700,0.006484,0.005253,-0.003811,0.999946,0.005035,-0.008890,0.001612,False,False
5087774642399000,0.006843,0.005353,-0.003895,0.999943,0.005103,-0.009273,0.001585,False,False
5087774661569800,0.007265,0.005690,-0.003847,0.999940,0.005033,-0.009575,0.001491,False,False
5087774678925500,0.007730,0.006121,-0.003762,0.999938,0.004878,-0.009890,0.001367,False,False
5087774697131000,0.008257,0.006598,-0.003656,0.999938,0.004685,-0.010053,0.001198,False,False
5087774713879700,0.007149,0.003664,-0.005133,0.999895,0.005386,-0.012843,0.003957,False,False
5087774730593400,0.007072,0.002910,-0.005631,0.999894,0.005396,-0.012996,0.003798,False,False
5087774748787200,0.007357,0.002861,-0.005822,0.999896,0.005199,-0.012924,0.003662,False,False
5087774765785700,0.008183,0.003295,-0.006008,0.999902,0.004612,-0.012690,0.003627,False,False
5087774783474900,0.008602,0.003587,-0.006094,0.999903,0.004302,-0.012668,0.003735,False,False
5087774800787000,0.008602,0.003587,-0.006094,0.999903,0.004302,-0.012668,0.003735,False,False
5087774819109600,0.008268,0.001322,-0.007052,0.999841,0.002720,-0.016484,0.006295,False,False
5087774837021300,0.008476,0.001221,-0.007270,0.999836,0.002720,-0.016613,0.006690,False,False
5087774854848300,0.008737,0.001214,-0.007444,0.999832,0.002833,-0.016662,0.007090,False,False
5087774871669900,0.009013,0.001214,-0.007603,0.999828,0.003025,-0.016691,0.007483,False,False
5087774889165000,0.009284,0.001189,-0.007760,0.999822,0.003265,-0.016848,0.007877,False,False
5087774907069200,0.009343,0.000244,-0.007371,0.999742,0.000198,-0.020616,0.009546,False,False
5087774923998400,0.009535,-0.000208,-0.007385,0.999732,0.000589,-0.020908,0.009899,False,False
5087774941375600,0.009788,-0.000509,-0.007485,0.999724,0.000948,-0.021196,0.010102,False,False
5087774961837600,0.010079,-0.000765,-0.007610,0.999717,0.001338,-0.021457,0.010185,False,False
5087774978816100,0.010415,-0.001019,-0.007736,0.999713,0.001808,-0.021634,0.010132,False,False
5087774997767900,0.010799,-0.001288,-0.007864,0.999711,0.002395,-0.021721,0.009971,False,False
5087775015925500,0.012706,-0.001119,-0.006321,0.999677,0.002212,-0.023359,0.009767,False,False
5087775032817200,0.013369,-0.001251,-0.006311,0.999679,0.002802,-0.023321,0.009486,False,False
5087775050675000,0.014023,-0.001393,-0.006378,0.999682,0.003263,-0.023284,0.009161,False,False
5087775069061500,0.014699,-0.001540,-0.006458,0.999685,0.003543,-0.023245,0.008795,False,False
5087775086382000,0.014256,-0.001915,-0.004276,0.999684,0.004401,-0.022992,0.009174,False,False
5087775103085000,0.014484,-0.002153,-0.003274,0.999684,0.004342,-0.023114,0.008829,False,False
5087775119757500,0.015134,-0.002352,-0.002975,0.999680,0.004374,-0.023519,0.008209,False,False
5087775137326100,0.015942,-0.002562,-0.002884,0.999670,0.004522,-0.024166,0.007392,False,False
5087775153648000,0.016835,-0.002804,-0.002836,0.999657,0.004847,-0.024922,0.006469,False,False
5087775171194800,0.017780,-0.003092,-0.002759,0.999641,0.005381,-0.025656,0.005533,False,False
5087775189448900,0.019166,-0.002835,-0.002966,0.999666,0.009141,-0.023783,0.004356,False,False
5087775207694700,0.020386,-0.002914,-0.002902,0.999641,0.010004,-0.024605,0.003485,False,False
5087775225010600,0.021530,-0.003227,-0.002758,0.999611,0.011059,-0.025458,0.002592,False,False
5087775244039700,0.022635,-0.003649,-0.002587,0.999571,0.012261,-0.026554,0.001758,False,False
5087775260758000,0.023713,-0.004122,-0.002397,0.999523,0.013526,-0.027754,0.001077,False,False
5087775279310300,0.024770,-0.004601,-0.002204,0.999472,0.014769,-0.028929,0.000699,False,False
5087775295694600,0.027190,-0.004741,-0.002353,0.999434,0.017490,-0.028723,-0.000129,False,False
5087775313471900,0.028914,-0.004977,-0.002366,0.999381,0.018399,-0.029967,0.000435,False,False
5087775330390100,0.030238,-0.005279,-0.002341,0.999329,0.019194,-0.031184,0.001151,False,False
5087775348085900,0.031457,-0.005589,-0.002309,0.999277,0.019912,-0.032308,0.002045,False,False
5087775366108500,0.033902,-0.006128,-0.002370,0.999188,0.021083,-0.034071,0.004215,False,False
5087775383579900,0.035232,-0.005999,-0.002416,0.999161,0.022802,-0.033865,0.003170,False,False
5087775400511500,0.036614,-0.005983,-0.002493,0.999142,0.023035,-0.034112,0.004582,False,False
5087775417730200,0.036614,-0.005983,-0.002493,0.999142,0.023035,-0.034112,0.004582,False,False
5087775437662600,0.039427,-0.006124,-0.002812,0.999113,0.023722,-0.034121,0.006755,False,False
5087775453534300,0.040895,-0.006237,-0.003031,0.999100,0.024260,-0.033968,0.007494,False,False
5087775470351300,0.042389,-0.006364,-0.003242,0.999097,0.024915,-0.033433,0.008141,False,False
5087775488193800,0.044088,-0.006500,-0.003015,0.999105,0.027342,-0.031976,0.004466,False,False
