timestamp,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z,button,toggle
5081013684939700,0.000000,0.000000,0.000000,0.999977,-0.004767,0.001160,-0.004614,False,False
5081013701926600,0.000000,0.000000,0.000000,0.999977,-0.004436,0.000868,-0.005118,False,False
5081013719131800,0.000000,0.000000,0.000000,0.999975,-0.003800,0.000592,-0.005996,False,False
5081013736131600,0.000000,0.000000,0.000000,0.999973,-0.003256,0.000175,-0.006651,False,False
5081013754872200,0.000000,0.000000,0.000000,0.999971,-0.003037,-0.000068,-0.006971,False,False
5081013771441800,0.000000,0.000000,0.000000,0.999967,-0.002726,-0.000768,-0.007679,False,False
5081013788227000,0.000000,0.000000,0.000000,0.999960,-0.002611,-0.001684,-0.008436,False,False
5081013806365500,0.000000,0.000000,0.000000,0.999956,-0.002625,-0.002123,-0.008788,False,False
5081013824002500,0.000000,0.000000,0.000000,0.999948,-0.002790,-0.003074,-0.009321,False,False
5081013840833500,0.000000,0.000000,0.000000,0.999940,-0.003039,-0.003997,-0.009738,False,False
5081013857693700,0.000000,0.000000,0.000000,0.999935,-0.003164,-0.004464,-0.009978,False,False
5081013874380000,0.000000,0.000000,0.000000,0.999923,-0.003410,-0.005237,-0.010742,False,False
5081013891845800,0.000000,0.000000,0.000000,0.999893,-0.003842,-0.005986,-0.012816,False,False
5081013909367100,0.000000,0.000000,0.000000,0.999866,-0.004190,-0.006227,-0.014516,False,False
5081013927005200,0.000000,0.000000,0.000000,0.999843,-0.004517,-0.006386,-0.015919,False,False
5081013944397900,0.000000,0.000000,0.000000,0.999834,-0.004642,-0.006420,-0.016438,False,False
5081013961791300,0.000000,0.000000,0.000000,0.999820,-0.004825,-0.006387,-0.017214,False,False
5081013979052900,0.000000,0.000000,0.000000,0.999820,-0.004825,-0.006387,-0.017214,False,False
5081013997063600,0.000000,0.000000,0.000000,0.999806,-0.004933,-0.006287,-0.018021,False,False
5081014014201500,0.000000,0.000000,0.000000,0.999801,-0.004818,-0.006464,-0.018266,False,False
5081014031496200,0.000000,0.000000,0.000000,0.999800,-0.004556,-0.006643,-0.018327,False,False
5081014048271700,0.000000,0.000000,0.000000,0.999801,-0.004415,-0.006663,-0.018304,False,False
5081014065316800,0.000000,0.000000,0.000000,0.999805,-0.004133,-0.006780,-0.018055,False,False
