Time_Sec,CH0-ThumbLow,CH1-ThumbUp,CH2-Pointer,CH3-Middle,CH4-Ring,CH5-Pinky
4921776709795300,2489,1413,2039,1910,4029,1869
4921776709867100,2490,1415,2038,1909,4033,1870
4921776709940800,2489,1414,2040,1911,4029,1870
4921776710019600,2489,1415,2039,1910,4029,1870
4921776710089400,2490,1414,2040,1909,4032,1870
4921776710151200,2489,1414,2039,1910,4032,1870
4921776710218200,2490,1425,2038,1909,4026,1871
4921776710287000,2492,1414,2037,1910,4031,1870
4921776710353300,2488,1414,2017,1910,4031,1869
4921776710442200,2490,1413,2040,1926,4031,1870
4921776710511500,2490,1414,2039,1909,4095,1871
4921776710595600,2490,1415,2039,1910,4030,1870
4921776710674900,2489,1415,2040,1910,4031,1868
4921776710749700,2490,1415,2038,1909,4040,1870
4921776710833300,2488,1417,2039,1910,4030,1871
4921776710941800,2489,1414,2039,1909,4095,1870
4921776711035800,2490,1414,1983,1909,4031,1869
4921776711149300,2488,1414,2038,1910,4028,1869
4921776711251800,2490,1415,2039,1909,4031,1871
4921776711346800,2490,1415,2040,1910,4030,1870
4921776711441700,2490,1415,2039,1910,4028,1870
4921776711529900,2489,1414,2037,1910,4030,1869
4921776711652600,2489,1449,2039,1909,4032,1871
4921776711765400,2489,1263,2039,1910,4095,1870
4921776711849400,2490,1413,2039,1910,4054,1870
4921776711929100,2490,1414,2039,1909,4032,1873
4921776712014200,2491,1414,2038,1910,4095,1870
4921776712093600,2490,1414,2040,1909,4030,1945
4921776712174600,2490,1414,2065,1913,4029,1868
4921776712284900,2493,1414,2038,1910,4031,1869
4921776712439100,2489,1414,2039,1910,4030,1870
4921776712532500,2498,1415,2037,1910,4031,1870
4921776712632300,2490,1414,2038,1909,4029,1996
4921776712728800,2490,1413,2038,1910,4029,1870
4921776712820400,2489,1415,2038,1911,4074,1870
4921776712963000,2489,1415,2039,1909,4032,1870
4921776713085300,2489,1414,2032,1910,4032,1883
4921776713203200,2490,1415,2038,1910,4029,1869
4921776713295700,2490,1414,2040,1909,4095,1871
4921776713410900,2485,1414,2038,1917,4028,1870
4921776713518400,2489,1434,2039,1910,4032,1870
4921776713840800,2489,1414,2038,1903,4030,1870
4921776713947300,2489,1414,2038,1912,4031,1871
4921776714026800,2490,1415,2040,1908,4044,1870
4921776714114300,2489,1414,2039,1909,4028,1869
4921776714388900,2489,1413,2039,1910,4031,1870
4921776714468600,2490,1520,2039,1911,4029,1944
4921776714572700,2540,1414,2038,1910,4030,1870
4921776714680700,2490,1414,2038,1911,4033,1869
4921776714793800,2489,1413,2078,1911,4031,1869
4921776714937700,2490,1415,2038,1910,4031,1871
4921776715047100,2489,1414,2039,1910,4032,1869
4921776715153600,2490,1413,2040,1910,4032,1870
4921776715307700,2489,1415,2044,1910,4031,1870
4921776715463000,2607,1414,2040,1913,4032,1869
4921776715607700,2488,1415,2039,1910,4031,1869
4921776715700100,2489,1414,2040,1911,4032,1869
4921776715797800,2489,1414,2039,1910,4042,1870
4921776715897100,2490,1414,2038,1909,4095,1869
4921776715997800,2489,1414,2040,1909,4030,1869
4921776716097600,2490,1414,2039,1910,4048,1870
4921776716202900,2491,1414,2039,1909,4038,1940
4921776716313800,2489,1414,2038,1909,4095,1870
4921776716412100,2489,1414,2040,1910,4030,1870
4921776716505800,2490,1415,2038,1910,4031,1869
4921776716609800,2490,1414,2039,1909,4030,1870
4921776716687900,2491,1413,2039,1910,4032,1870
4921776716777400,2490,1414,2039,1910,4031,1870
4921776716865300,2489,1413,2038,1909,4095,1870
4921776716956700,2491,1426,2039,1910,4026,1871
4921776717021200,2492,1414,2038,1909,4032,1870
4921776717092900,2488,1414,2018,1910,4032,1870
4921776717179000,2490,1413,2040,1926,4031,1870
4921776717260500,2490,1414,2038,1909,4033,1871
4921776717363800,2489,1414,2039,1910,4030,1870
4921776717455300,2489,1415,2040,1910,4030,1870
4921776717548600,2489,1415,2038,1909,4038,1870
4921776717660000,2490,1417,2039,1910,4032,1873
4921776717760200,2489,1414,2039,1910,4095,1869
4921776717863700,2489,1414,1983,1909,4028,1869
4921776717949300,2488,1413,2039,1910,4030,1868
4921776718025100,2490,1414,2039,1909,4031,1871
4921776718095400,2490,1414,2039,1911,4030,1870
4921776718155900,2491,1415,2039,1910,4031,1870
