Time_Sec,CH0-ThumbLow,CH1-ThumbUp,CH2-Pointer,CH3-Middle,CH4-Ring,CH5-Pinky
4920921016141600,1283,1856,2881,2742,4033,2660
4920921016204800,1284,1855,2884,2742,4030,2661
4920921016267600,1284,1856,2885,2742,4031,2662
4920921016335300,1409,1855,2882,2743,4033,2661
4920921016398900,1282,1856,2882,2743,4031,2661
4920921016462800,1283,1855,2881,2744,4032,2660
4920921016525800,1283,1855,2882,2742,4034,2663
4920921016584800,1284,1856,2882,2741,4032,2661
4920921016649400,1285,1856,2883,2742,4029,2661
4920921016708600,1283,1856,2883,2742,4042,2662
4920921016771400,1284,1856,2881,2742,4030,2741
4920921016835100,1284,1856,2881,2742,4095,2661
4920921016899300,1282,1856,2882,2743,4031,2661
4920921016961200,1284,1856,2881,2744,4032,2661
4920921017023300,1284,1857,2884,2743,4032,2662
4920921017082500,1284,1856,2882,2744,4029,2661
4920921017148100,1282,1855,2883,2744,4032,2661
4920921017210000,1281,1856,2881,2742,4032,2662
4920921017271800,1283,1874,2883,2742,4028,2662
4920921017331300,1287,1856,2880,2742,4029,2661
4920921017393100,1285,1855,2882,2745,4034,2661
4920921017457100,1283,1856,2882,2743,4032,2661
4920921017516700,1283,1856,2881,2741,4081,2663
4920921017579700,1282,1856,2892,2743,4032,2662
4920921017642900,1283,1854,2882,2743,4031,2661
4920921017714400,1283,1857,2881,2741,4059,2662
4920921017781400,1284,1857,2883,2740,4095,2664
4920921017843900,1282,1856,2882,2742,4092,2661
4920921017905700,1284,1856,2882,2742,4040,2662
4920921017968400,1283,1855,2882,2742,4032,2661
4920921018031100,1282,1857,2882,2742,4095,2662
4920921018093800,1282,1857,2896,2744,4029,2662
4920921018177300,1283,1856,2882,2742,4031,2662
4920921018261900,1284,1855,2881,2742,4034,2661
4920921018366300,1283,1897,2882,2743,4052,2663
4920921018462400,1284,1709,2882,2742,4086,2661
4920921018619000,1286,1856,2884,2743,4032,2661
4920921018709600,1284,1856,2882,2742,4031,2661
4920921018858700,1283,1857,2881,2742,3989,2662
4920921018979100,1283,1857,2882,2741,4034,2778
4920921019121900,1282,1855,2904,2743,4032,2664
4920921019227600,1284,1856,2880,2742,4031,2660
4920921019318900,1284,1856,2882,2742,4076,2662
4920921019469700,1294,1855,2880,2742,4031,2661
4920921019573000,1282,1857,2883,2741,4036,2778
4920921019919500,1283,1856,2881,2744,4031,2661
4920921020025800,1285,1856,2882,2743,4056,2662
4920921020126500,1283,1856,2882,2742,4033,2662
4920921020195500,1284,1855,2887,2743,4032,2661
4920921020314700,1283,1854,2882,2742,4031,2661
4920921020449700,1284,1855,2882,2741,4030,2663
4920921020534800,1282,1855,2882,2748,4035,2661
4920921020615600,1284,1856,2883,2743,4032,2662
4920921020732700,1284,1854,2882,2741,4032,2716
4920921020931500,1284,1856,2882,2743,4031,2661
4920921021010800,1285,1856,2882,2742,4045,2662
4920921021107700,1283,1856,2883,2742,4029,2660
4920921021196000,1281,1856,2882,2743,4035,2662
4920921021269000,1282,1962,2883,2742,4030,2664
4920921021344400,1335,1856,2881,2742,4032,2662
4920921021416700,1283,1855,2880,2744,4034,2662
4920921021486300,1283,1854,2917,2743,4033,2659
